name,city,state,country,latitude,longitude
jeresig,Boston,MA,USA,42.358431,-71.059773
​dmethvin,Boston,MA,USA,42.358431,-71.059773
​jzaefferer,Boston,MA,USA,42.358431,-71.059773
​timmywil,Boston,MA,USA,42.358431,-71.059773
​rwaldron,Boston,MA,USA,42.358431,-71.059773
​jaubourg,Boston,MA,USA,42.358431,-71.059773
​brandonaaron,Boston,MA,USA,42.358431,-71.059773
​flesler,Boston,MA,USA,42.358431,-71.059773
​gibson042,Boston,MA,USA,42.358431,-71.059773
​markelog,Boston,MA,USA,42.358431,-71.059773
​mikesherov,Boston,MA,USA,42.358431,-71.059773
​davidserduke,Boston,MA,USA,42.358431,-71.059773
​csnover,Boston,MA,USA,42.358431,-71.059773
​gnarf,Boston,MA,USA,42.358431,-71.059773
​wycats,Boston,MA,USA,42.358431,-71.059773
​mzgol,Boston,MA,USA,42.358431,-71.059773
​jitter,Boston,MA,USA,42.358431,-71.059773
​rkatic,Boston,MA,USA,42.358431,-71.059773
​scottgonzalez,Boston,MA,USA,42.358431,-71.059773
​Krinkle,Boston,MA,USA,42.358431,-71.059773
​danheberden,Boston,MA,USA,42.358431,-71.059773
​azatoth,Boston,MA,USA,42.358431,-71.059773
​cowboy,Boston,MA,USA,42.358431,-71.059773
​malsup,Boston,MA,USA,42.358431,-71.059773
​jboesch,Boston,MA,USA,42.358431,-71.059773
​mathiasbynens,Boston,MA,USA,42.358431,-71.059773
​elijahmanor,Boston,MA,USA,42.358431,-71.059773
​rdworth,Boston,MA,USA,42.358431,-71.059773
​dcneiner,Boston,MA,USA,42.358431,-71.059773
​ajpiano,Boston,MA,USA,42.358431,-71.059773
​james,Boston,MA,USA,42.358431,-71.059773
​sindresorhus,Boston,MA,USA,42.358431,-71.059773
​stefanpetre,Boston,MA,USA,42.358431,-71.059773
​xavi,Boston,MA,USA,42.358431,-71.059773
​coreyjewett,Boston,MA,USA,42.358431,-71.059773
​gf3,Boston,MA,USA,42.358431,-71.059773
​erickrdch,Boston,MA,USA,42.358431,-71.059773
​SlexAxton,Boston,MA,USA,42.358431,-71.059773
​jrburke,Boston,MA,USA,42.358431,-71.059773
​cmcnulty,Boston,MA,USA,42.358431,-71.059773
​kswedberg,Boston,MA,USA,42.358431,-71.059773
​irae,Boston,MA,USA,42.358431,-71.059773
​justinbmeyer,Boston,MA,USA,42.358431,-71.059773
​hwiechers,Boston,MA,USA,42.358431,-71.059773
​dcherman,Boston,MA,USA,42.358431,-71.059773
​PaulBRamos,Boston,MA,USA,42.358431,-71.059773
​fmarcia,Boston,MA,USA,42.358431,-71.059773
​fracmak,Boston,MA,USA,42.358431,-71.059773
​paulirish,Boston,MA,USA,42.358431,-71.059773
​ruado1987,Boston,MA,USA,42.358431,-71.059773
​aFarkas,Boston,MA,USA,42.358431,-71.059773
​JessThrysoee,Boston,MA,USA,42.358431,-71.059773
​MoonScript,Boston,MA,USA,42.358431,-71.059773
​robmorgan,Boston,MA,USA,42.358431,-71.059773
​ctalkington,Boston,MA,USA,42.358431,-71.059773
​sbisbee,Boston,MA,USA,42.358431,-71.059773
​ros3cin,Boston,MA,USA,42.358431,-71.059773
​tomfuertes,Boston,MA,USA,42.358431,-71.059773
​stonelee,Boston,MA,USA,42.358431,-71.059773
​tricknotes,Boston,MA,USA,42.358431,-71.059773
​nanto,Boston,MA,USA,42.358431,-71.059773
​terrycojones,Boston,MA,USA,42.358431,-71.059773
​djanowski,Boston,MA,USA,42.358431,-71.059773
​farmdawgnation,Boston,MA,USA,42.358431,-71.059773
​ameyms,Boston,MA,USA,42.358431,-71.059773
​dgalvez,Boston,MA,USA,42.358431,-71.059773
​anton,Boston,MA,USA,42.358431,-71.059773
​datag,Boston,MA,USA,42.358431,-71.059773
​davidmurdoch,Boston,MA,USA,42.358431,-71.059773
​neerajdotname,Boston,MA,USA,42.358431,-71.059773
​ikhair,Boston,MA,USA,42.358431,-71.059773
​bentruyman,Boston,MA,USA,42.358431,-71.059773
​danielchatfield,Boston,MA,USA,42.358431,-71.059773
​antishok,Boston,MA,USA,42.358431,-71.059773
​hasclass,Boston,MA,USA,42.358431,-71.059773
​treyhunner,Boston,MA,USA,42.358431,-71.059773
​petersendidit,Boston,MA,USA,42.358431,-71.059773
​adebree,Boston,MA,USA,42.358431,-71.059773
​wwalser,Boston,MA,USA,42.358431,-71.059773
​pborreli,Boston,MA,USA,42.358431,-71.059773
​jbruni,Boston,MA,USA,42.358431,-71.059773
​ryantenney,Boston,MA,USA,42.358431,-71.059773
​amonat,Boston,MA,USA,42.358431,-71.059773
​vlazar,Boston,MA,USA,42.358431,-71.059773
​presbrey,Boston,MA,USA,42.358431,-71.059773
​cmc3cn,Boston,MA,USA,42.358431,-71.059773
​temp01,Boston,MA,USA,42.358431,-71.059773
​jefferyto,Boston,MA,USA,42.358431,-71.059773
​kborchers,Boston,MA,USA,42.358431,-71.059773
​private,Boston,MA,USA,42.358431,-71.059773
​fat,Boston,MA,USA,42.358431,-71.059773
​ChadKillingsworth,Boston,MA,USA,42.358431,-71.059773
​nowres,Boston,MA,USA,42.358431,-71.059773
​davidben,Boston,MA,USA,42.358431,-71.059773
​rafBM,Boston,MA,USA,42.358431,-71.059773
​faulkner,Boston,MA,USA,42.358431,-71.059773
​JustinDrake,Boston,MA,USA,42.358431,-71.059773
​NikGovorov,Boston,MA,USA,42.358431,-71.059773
​jryans,Boston,MA,USA,42.358431,-71.059773
​jugglinmike,Boston,MA,USA,42.358431,-71.059773